City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,sisimiut,66.9395,-53.6735,269.86,77,100,6.11,GL,1683793477
346,san patricio,28.017,-97.5169,299.73,96,25,5.11,US,1683793477
347,masina,-4.3836,15.3914,299.97,73,50,1.2,CD,1683793478
348,karratha,-20.7377,116.8463,301.89,25,8,4.97,AU,1683793479
349,rizokarpaso,35.6,34.375,293.84,66,77,3.53,CY,1683793479
350,ebon,4.582,168.6964,301.87,81,100,7.45,MH,1683793480
351,colonia,50.9333,6.95,287.66,85,75,2.06,DE,1683793461
352,inarajan village,13.2736,144.7484,302.81,91,28,3.58,GU,1683793481
353,ust-tsilma,65.441,52.1498,275.42,91,93,3.41,RU,1683793481
354,margate,51.3813,1.3862,287.76,76,23,0.89,GB,1683793446
355,san vicente de chucuri,6.881,-73.4098,294.35,87,98,1.0,CO,1683793483
356,madang,-5.2246,145.7966,301.09,83,92,2.04,PG,1683793483
357,trinidad,-14.8333,-64.9,292.75,89,100,1.71,BO,1683793484
358,west kelowna,49.8625,-119.5833,285.31,74,0,1.54,CA,1683793484
359,tobol'sk,58.2,68.2667,280.23,73,100,4.56,RU,1683793485
360,taperoa,-7.2075,-36.8267,292.38,98,68,1.9,BR,1683793485
361,cabo san lucas,22.8909,-109.9124,294.6,56,95,6.46,MX,1683793324
362,saint-philippe,-21.3585,55.7679,301.92,77,57,6.11,RE,1683793487
